parabola_slope,midpoint,Na_arc,Na_rad,N_col
1,-0.16,2,2,2
1,-0.16,2,2,10
1,-0.16,2,2,20
1,-0.16,2,10,2
1,-0.16,2,10,10
1,-0.16,2,10,20
1,-0.16,2,20,2
1,-0.16,2,20,10
1,-0.16,2,20,20
1,-0.16,10,2,2
1,-0.16,10,2,10
1,-0.16,10,2,20
1,-0.16,10,10,2
1,-0.16,10,10,10
1,-0.16,10,10,20
1,-0.16,10,20,2
1,-0.16,10,20,10
1,-0.16,10,20,20
1,-0.16,20,2,2
1,-0.16,20,2,10
1,-0.16,20,2,20
1,-0.16,20,10,2
1,-0.16,20,10,10
1,-0.16,20,10,20
1,-0.16,20,20,2
1,-0.16,20,20,10
1,-0.16,20,20,20
1,0.0,2,2,2
1,0.0,2,2,10
1,0.0,2,2,20
1,0.0,2,10,2
1,0.0,2,10,10
1,0.0,2,10,20
1,0.0,2,20,2
1,0.0,2,20,10
1,0.0,2,20,20
1,0.0,10,2,2
1,0.0,10,2,10
1,0.0,10,2,20
1,0.0,10,10,2
1,0.0,10,10,10
1,0.0,10,10,20
1,0.0,10,20,2
1,0.0,10,20,10
1,0.0,10,20,20
1,0.0,20,2,2
1,0.0,20,2,10
1,0.0,20,2,20
1,0.0,20,10,2
1,0.0,20,10,10
1,0.0,20,10,20
1,0.0,20,20,2
1,0.0,20,20,10
1,0.0,20,20,20
1,0.16,2,2,2
1,0.16,2,2,10
1,0.16,2,2,20
1,0.16,2,10,2
1,0.16,2,10,10
1,0.16,2,10,20
1,0.16,2,20,2
1,0.16,2,20,10
1,0.16,2,20,20
1,0.16,10,2,2
1,0.16,10,2,10
1,0.16,10,2,20
1,0.16,10,10,2
1,0.16,10,10,10
1,0.16,10,10,20
1,0.16,10,20,2
1,0.16,10,20,10
1,0.16,10,20,20
1,0.16,20,2,2
1,0.16,20,2,10
1,0.16,20,2,20
1,0.16,20,10,2
1,0.16,20,10,10
1,0.16,20,10,20
1,0.16,20,20,2
1,0.16,20,20,10
1,0.16,20,20,20
4,-0.16,2,2,2
4,-0.16,2,2,10
4,-0.16,2,2,20
4,-0.16,2,10,2
4,-0.16,2,10,10
4,-0.16,2,10,20
4,-0.16,2,20,2
4,-0.16,2,20,10
4,-0.16,2,20,20
4,-0.16,10,2,2
4,-0.16,10,2,10
4,-0.16,10,2,20
4,-0.16,10,10,2
4,-0.16,10,10,10
4,-0.16,10,10,20
4,-0.16,10,20,2
4,-0.16,10,20,10
4,-0.16,10,20,20
4,-0.16,20,2,2
4,-0.16,20,2,10
4,-0.16,20,2,20
4,-0.16,20,10,2
4,-0.16,20,10,10
4,-0.16,20,10,20
4,-0.16,20,20,2
4,-0.16,20,20,10
4,-0.16,20,20,20
4,0.0,2,2,2
4,0.0,2,2,10
4,0.0,2,2,20
4,0.0,2,10,2
4,0.0,2,10,10
4,0.0,2,10,20
4,0.0,2,20,2
4,0.0,2,20,10
4,0.0,2,20,20
4,0.0,10,2,2
4,0.0,10,2,10
4,0.0,10,2,20
4,0.0,10,10,2
4,0.0,10,10,10
4,0.0,10,10,20
4,0.0,10,20,2
4,0.0,10,20,10
4,0.0,10,20,20
4,0.0,20,2,2
4,0.0,20,2,10
4,0.0,20,2,20
4,0.0,20,10,2
4,0.0,20,10,10
4,0.0,20,10,20
4,0.0,20,20,2
4,0.0,20,20,10
4,0.0,20,20,20
4,0.16,2,2,2
4,0.16,2,2,10
4,0.16,2,2,20
4,0.16,2,10,2
4,0.16,2,10,10
4,0.16,2,10,20
4,0.16,2,20,2
4,0.16,2,20,10
4,0.16,2,20,20
4,0.16,10,2,2
4,0.16,10,2,10
4,0.16,10,2,20
4,0.16,10,10,2
4,0.16,10,10,10
4,0.16,10,10,20
4,0.16,10,20,2
4,0.16,10,20,10
4,0.16,10,20,20
4,0.16,20,2,2
4,0.16,20,2,10
4,0.16,20,2,20
4,0.16,20,10,2
4,0.16,20,10,10
4,0.16,20,10,20
4,0.16,20,20,2
4,0.16,20,20,10
4,0.16,20,20,20
6,-0.16,2,2,2
6,-0.16,2,2,10
6,-0.16,2,2,20
6,-0.16,2,10,2
6,-0.16,2,10,10
6,-0.16,2,10,20
6,-0.16,2,20,2
6,-0.16,2,20,10
6,-0.16,2,20,20
6,-0.16,10,2,2
6,-0.16,10,2,10
6,-0.16,10,2,20
6,-0.16,10,10,2
6,-0.16,10,10,10
6,-0.16,10,10,20
6,-0.16,10,20,2
6,-0.16,10,20,10
6,-0.16,10,20,20
6,-0.16,20,2,2
6,-0.16,20,2,10
6,-0.16,20,2,20
6,-0.16,20,10,2
6,-0.16,20,10,10
6,-0.16,20,10,20
6,-0.16,20,20,2
6,-0.16,20,20,10
6,-0.16,20,20,20
6,0.0,2,2,2
6,0.0,2,2,10
6,0.0,2,2,20
6,0.0,2,10,2
6,0.0,2,10,10
6,0.0,2,10,20
6,0.0,2,20,2
6,0.0,2,20,10
6,0.0,2,20,20
6,0.0,10,2,2
6,0.0,10,2,10
6,0.0,10,2,20
6,0.0,10,10,2
6,0.0,10,10,10
6,0.0,10,10,20
6,0.0,10,20,2
6,0.0,10,20,10
6,0.0,10,20,20
6,0.0,20,2,2
6,0.0,20,2,10
6,0.0,20,2,20
6,0.0,20,10,2
6,0.0,20,10,10
6,0.0,20,10,20
6,0.0,20,20,2
6,0.0,20,20,10
6,0.0,20,20,20
6,0.16,2,2,2
6,0.16,2,2,10
6,0.16,2,2,20
6,0.16,2,10,2
6,0.16,2,10,10
6,0.16,2,10,20
6,0.16,2,20,2
6,0.16,2,20,10
6,0.16,2,20,20
6,0.16,10,2,2
6,0.16,10,2,10
6,0.16,10,2,20
6,0.16,10,10,2
6,0.16,10,10,10
6,0.16,10,10,20
6,0.16,10,20,2
6,0.16,10,20,10
6,0.16,10,20,20
6,0.16,20,2,2
6,0.16,20,2,10
6,0.16,20,2,20
6,0.16,20,10,2
6,0.16,20,10,10
6,0.16,20,10,20
6,0.16,20,20,2
6,0.16,20,20,10
6,0.16,20,20,20
